operator,origin_zone,destination_zone,fare_id
3,1,1,CT_LOCAL
3,1,2,CT_LOCAL
3,1,3,CT_LOCAL
3,1,4,CT_NE_COMMUTER
3,2,1,CT_LOCAL
3,2,2,CT_LOCAL
3,2,3,CT_LOCAL
3,2,4,CT_COMMUTER
3,3,1,CT_LOCAL
3,3,2,CT_LOCAL
3,3,3,CT_LOCAL
3,3,4,CT_COMMUTER
3,4,1,CT_NE_COMMUTER
3,4,2,CT_COMMUTER
3,4,3,CT_COMMUTER
3,4,4,CT_COMMUTER
1,2,2,METRO_1Z
1,2,3,METRO_1Z
1,2,4,METRO_2Z
1,2,5,METRO_1Z
1,3,2,METRO_1Z
1,3,3,METRO_1Z
1,3,4,METRO_2Z
1,3,5,METRO_1Z
1,4,2,METRO_2Z
1,4,3,METRO_2Z
1,4,4,METRO_1Z
1,4,5,METRO_2Z
1,5,2,METRO_1Z
1,5,3,METRO_1Z
1,5,4,METRO_2Z
1,5,5,METRO_1Z
2,3,3,PIERCE
2,3,5,PIERCE
2,5,3,PIERCE
2,5,5,PIERCE
4,5,5,KITSAP
4,5,6,KITSAP
4,6,5,KITSAP
4,6,6,KITSAP
4,6002,6,KITSAP
4,6,6002,KITSAP
4,6002,6002,KITSAP
4,6002,6009,KITSAP
4,6009,6002,KITSAP
4,6009,6009,KITSAP
4,6002,6002,KITSAP
4,6,6009,KITSAP
4,6009,6,KITSAP
4,6005,6,KITSAP
4,6,6005,KITSAP
4,6005,6005,KITSAP
4,6,6003,KITSAP
4,6003,6,KITSAP
4,6003,6003,KITSAP
6,1,1,ST_EXPRESS_1Z
6,1,2,ST_EXPRESS_1Z
6,1,3,ST_EXPRESS_2Z
6,1,4,ST_EXPRESS_2Z
6,2,1,ST_EXPRESS_1Z
6,2,2,ST_EXPRESS_1Z
6,2,3,ST_EXPRESS_2Z
6,2,4,ST_EXPRESS_1Z
6,3,1,ST_EXPRESS_2Z
6,3,2,ST_EXPRESS_2Z
6,3,3,ST_EXPRESS_1Z
6,3,4,ST_EXPRESS_1Z
6,3,5,ST_EXPRESS_2Z
6,4,1,ST_EXPRESS_2Z
6,4,2,ST_EXPRESS_2Z
6,4,3,ST_EXPRESS_1Z
6,4,4,ST_EXPRESS_1Z
6,4,5,ST_EXPRESS_2Z
6,5,3,ST_EXPRESS_2Z
6,5,4,ST_EXPRESS_2Z
6,5,5,ST_EXPRESS_1Z
6,4,4,ST_LR_1Z
6,4,402,ST_LR_2Z
6,4,303,ST_LR_3Z
6,402,4,ST_LR_2Z
6,402,402,ST_LR_1Z
6,402,303,ST_LR_2Z
6,303,4,ST_LR_3Z
6,303,402,ST_LR_2Z
6,303,303,ST_LR_1Z
1,451,451,MONORAIL
5,4001,4001,WS_SEATTLE_FOOT_FERRY
5,4001,6002,SEA_BAIN_FERRY
5,6002,4001,BAIN_SEA_FERRY
5,4001,6003,SEA_BREM_FERRY
5,6003,4001,BREM_SEA_FERRY
4,6003,6003,BREM_PO_FERRY
5,4010,3006,FOUNT_VASHON_FERRY
5,3006,4010,VASHON_FOUNT_FERRY
5,4010,6005,FOUNT_SOUTHWORTH_FERRY
5,6005,4010,SOUTHWORTH_FOUNT_FERRY
5,6005,3006,SOUTHWORTH_VASHON_FERRY
5,3006,6005,VASHON_SOUTHWORTH_FERRY
5,3006,4001,VASHON_SEATTLE_FERRY
5,4001,3006,SEATTLE_VASHON_FERRY
5,3007,5011,VASHON_PTDEF_FERRY
5,5011,3007,PTDEF_VASHION_FERRY
5,2008,6009,EDMONDS_KINGSTON_FERRY
5,6009,2008,KINGSTON_EDMONDS_FERRY
1,3,3006,METRO_1Z
1,3006,3,METRO_1Z
1,3006,3006,METRO_1Z
1,4010,4010,METRO_1Z
1,4010,3,METRO_1Z
1,3,4010,METRO_1Z
1,4,4010,METRO_1Z
1,4010,4,METRO_1Z
1,3006,4010,METRO_1Z
1,4010,3006,METRO_1Z
1,3006,4,METRO_1Z
1,4,3006,METRO_1Z
